MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
20,4460,-19.9438,26.9686,45.9865,1,0
20,4804,-21.4676,26.4691,46.3616,1,0
20,4811,-19.567,27.6362,46.3426,1,0
20,4817,-20.1146,28.0808,46.8791,1,0
20,5162,-21.999,28.2301,47.6237,2,0
20,5161,-22.853,28.0664,47.8646,1,0
20,5163,-21.2283,28.5326,47.5693,1,0
20,5164,-21.6432,28.8642,47.9545,1,0
20,5533,-22.4028,28.7622,48.1465,1,0
20,5165,-20.4583,28.5964,47.3976,2,0
20,5166,-19.5137,28.7373,47.2551,1,0
20,5171,-20.8692,29.1155,47.9335,1,0
20,5172,-19.978,29.2252,47.8098,1,0
21,5064,-20.0727,9.98691,47.7025,0,0
21,5064,-20.0727,9.98691,47.7025,3,0
21,5065,-20.37,9.52973,48.0626,2,0
21,5066,-20.7613,10.0817,47.9548,1,0
21,5068,-19.6353,9.19974,47.9338,1,0
21,5435,-21.1683,9.68538,48.3342,1,0
21,5428,-20.2402,8.90119,48.3385,1,0
21,5067,-19.1217,9.67854,47.4574,2,0
21,5060,-18.9262,8.89277,47.8227,1,0
21,5058,-18.1148,8.76447,47.5798,1,0
21,5069,-18.1267,9.39434,47.1945,1,0
21,4728,-19.3766,10.4492,47.1196,1,0
21,5076,-20.1637,10.687,47.3813,1,0
21,4731,-18.6675,10.1626,46.957,1,0
21,5073,-20.8796,10.7618,47.6865,2,0
21,5074,-21.3386,10.4463,48.0483,1,0
21,5075,-21.6843,11.1577,47.8953,1,0
21,5078,-21.2464,11.7239,47.4187,1,0
22,5068,-19.6353,9.19974,47.9338,0,0
22,5068,-19.6353,9.19974,47.9338,3,0
22,5067,-19.1217,9.67854,47.4574,2,0
22,5064,-20.0727,9.98691,47.7025,1,0
22,5060,-18.9262,8.89277,47.8227,1,0
22,5058,-18.1148,8.76447,47.5798,1,0
22,5069,-18.1267,9.39434,47.1945,1,0
22,4728,-19.3766,10.4492,47.1196,1,0
22,5076,-20.1637,10.687,47.3813,1,0
22,4731,-18.6675,10.1626,46.957,1,0
22,5065,-20.37,9.52973,48.0626,2,0
22,5066,-20.7613,10.0817,47.9548,1,0
22,5435,-21.1683,9.68538,48.3342,1,0
22,5428,-20.2402,8.90119,48.3385,1,0
22,5429,-19.2593,8.33724,48.2648,2,0
22,5417,-20.0249,8.1227,48.6571,1,0
22,5420,-19.0521,7.5762,48.6082,1,0
22,5059,-18.4955,8.30441,47.9973,1,0
22,5422,-18.2059,7.57588,48.3201,1,0
23,5076,-20.1637,10.687,47.3813,0,0
23,5076,-20.1637,10.687,47.3813,3,0
23,5073,-20.8796,10.7618,47.6865,2,0
23,5074,-21.3386,10.4463,48.0483,1,0
23,5075,-21.6843,11.1577,47.8953,1,0
23,5066,-20.7613,10.0817,47.9548,1,0
23,5064,-20.0727,9.98691,47.7025,1,0
23,5078,-21.2464,11.7239,47.4187,1,0
23,4728,-19.3766,10.4492,47.1196,2,0
23,4727,-19.1685,10.9676,46.7186,1,0
23,4729,-19.8135,11.0618,46.9823,1,0
23,4731,-18.6675,10.1626,46.957,1,0
23,5067,-19.1217,9.67854,47.4574,1,0
23,4735,-20.4113,11.4067,47.1106,2,0
23,4734,-19.9705,11.7742,46.6851,1,0
23,4736,-20.6645,11.9382,46.9718,1,0
24,5163,-21.2283,28.5326,47.5693,0,0
24,5163,-21.2283,28.5326,47.5693,3,0
24,5162,-21.999,28.2301,47.6237,2,0
24,5157,-22.4647,27.5066,47.3763,1,0
24,5161,-22.853,28.0664,47.8646,1,0
24,5164,-21.6432,28.8642,47.9545,1,0
24,4816,-21.207,27.9054,47.1155,1,0
24,5533,-22.4028,28.7622,48.1465,1,0
24,5165,-20.4583,28.5964,47.3976,2,0
24,4817,-20.1146,28.0808,46.8791,1,0
24,5166,-19.5137,28.7373,47.2551,1,0
24,5171,-20.8692,29.1155,47.9335,1,0
24,5172,-19.978,29.2252,47.8098,1,0
25,5171,-20.8692,29.1155,47.9335,0,0
25,5171,-20.8692,29.1155,47.9335,3,0
25,5164,-21.6432,28.8642,47.9545,2,0
25,5162,-21.999,28.2301,47.6237,1,0
25,5163,-21.2283,28.5326,47.5693,1,0
25,5533,-22.4028,28.7622,48.1465,1,0
25,5541,-21.5733,29.4693,48.4183,1,0
25,5165,-20.4583,28.5964,47.3976,2,0
25,4816,-21.207,27.9054,47.1155,1,0
25,4817,-20.1146,28.0808,46.8791,1,0
25,5166,-19.5137,28.7373,47.2551,1,0
25,5172,-19.978,29.2252,47.8098,1,0
25,5542,-20.5267,29.6909,48.3536,2,0
25,5543,-19.5297,29.802,48.242,1,0
25,5548,-21.068,30.145,48.864,1,0
25,5549,-20.0776,30.263,48.7914,1,0
26,5411,-18.9222,6.92979,48.9162,0,0
26,5411,-18.9222,6.92979,48.9162,3,0
26,5410,-18.4338,6.42975,49.0436,2,0
26,5409,-18.1563,6.92298,48.678,1,0
26,5413,-17.6479,6.19865,48.9395,1,0
26,5789,-19.2613,6.4193,49.3062,1,0
26,5780,-18.2224,5.82006,49.3323,1,0
26,5421,-19.6535,7.25768,48.9775,2,0
26,5420,-19.0521,7.5762,48.6082,1,0
26,5417,-20.0249,8.1227,48.6571,1,0
26,5418,-20.3902,7.59396,49.0495,1,0
26,5788,-20.2541,6.92689,49.3517,1,0
27,5420,-19.0521,7.5762,48.6082,0,0
27,5420,-19.0521,7.5762,48.6082,3,0
27,5417,-20.0249,8.1227,48.6571,2,0
27,5418,-20.3902,7.59396,49.0495,1,0
27,5419,-20.8153,8.14916,48.9229,1,0
27,5421,-19.6535,7.25768,48.9775,1,0
27,5425,-21.0536,8.89955,48.6589,1,0
27,5428,-20.2402,8.90119,48.3385,1,0
27,5429,-19.2593,8.33724,48.2648,1,0
27,5411,-18.9222,6.92979,48.9162,2,0
27,5410,-18.4338,6.42975,49.0436,1,0
27,5409,-18.1563,6.92298,48.678,1,0
27,5789,-19.2613,6.4193,49.3062,1,0
27,5422,-18.2059,7.57588,48.3201,2,0
27,5051,-17.3842,7.46005,48.0938,1,0
27,5052,-17.8536,8.03312,47.9178,1,0
27,5412,-17.1461,6.72101,48.4661,1,0
27,5059,-18.4955,8.30441,47.9973,1,0
28,5429,-19.2593,8.33724,48.2648,0,0
28,5429,-19.2593,8.33724,48.2648,3,0
28,5417,-20.0249,8.1227,48.6571,2,0
28,5418,-20.3902,7.59396,49.0495,1,0
28,5419,-20.8153,8.14916,48.9229,1,0
28,5420,-19.0521,7.5762,48.6082,1,0
28,5421,-19.6535,7.25768,48.9775,1,0
28,5425,-21.0536,8.89955,48.6589,1,0
28,5428,-20.2402,8.90119,48.3385,1,0
28,5059,-18.4955,8.30441,47.9973,2,0
28,5058,-18.1148,8.76447,47.5798,1,0
28,5060,-18.9262,8.89277,47.8227,1,0
28,5052,-17.8536,8.03312,47.9178,1,0
28,5422,-18.2059,7.57588,48.3201,1,0
28,5068,-19.6353,9.19974,47.9338,2,0
28,5067,-19.1217,9.67854,47.4574,1,0
28,5064,-20.0727,9.98691,47.7025,1,0
28,5065,-20.37,9.52973,48.0626,1,0
29,5542,-20.5267,29.6909,48.3536,0,0
29,5542,-20.5267,29.6909,48.3536,3,0
29,5171,-20.8692,29.1155,47.9335,2,0
29,5164,-21.6432,28.8642,47.9545,1,0
29,5163,-21.2283,28.5326,47.5693,1,0
29,5165,-20.4583,28.5964,47.3976,1,0
29,5172,-19.978,29.2252,47.8098,1,0
29,5541,-21.5733,29.4693,48.4183,1,0
29,5543,-19.5297,29.802,48.242,2,0
29,5173,-19.0299,29.3366,47.6791,1,0
29,5544,-18.5006,29.9191,48.113,1,0
29,5549,-20.0776,30.263,48.7914,1,0
29,5550,-19.1064,30.347,48.6887,1,0
29,5548,-21.068,30.145,48.864,2,0
29,5547,-22.0056,30.0109,48.9442,1,0
29,5929,-21.6183,30.6387,49.3849,1,0
29,5930,-20.6054,30.7376,49.3221,1,0
30,5549,-20.0776,30.263,48.7914,0,0
30,5549,-20.0776,30.263,48.7914,3,0
30,5542,-20.5267,29.6909,48.3536,2,0
